game,result,game_state
1,1/2-1/2,1k6/3pp3/BPbp1rp1/R4p2/1P3P1p/B3P3/3NK3/N7 w - - 5 43
1,1/2-1/2,1k6/3pp3/BPbp1rp1/RP3p2/5P1p/B3P3/3NK3/N7 b - - 0 43
1,1/2-1/2,1k6/1b1pp3/BP1p1rp1/RP3p2/5P1p/B3P3/3NK3/N7 w - - 1 44
1,1/2-1/2,1k6/1b1pp3/BP1p1rp1/RP3p2/5P1p/B3P3/2NNK3/8 b - - 2 44
1,1/2-1/2,k7/1b1pp3/BP1p1rp1/RP3p2/5P1p/B3P3/2NNK3/8 w - - 3 45
1,1/2-1/2,k7/1b1pp3/BP1p1rp1/RP3p2/1B3P1p/4P3/2NNK3/8 b - - 4 45
1,1/2-1/2,k7/3pp3/BP1p1rp1/RP3p2/1B2bP1p/4P3/2NNK3/8 w - - 5 46
1,1/2-1/2,k1B5/3pp3/1P1p1rp1/RP3p2/1B2bP1p/4P3/2NNK3/8 b - - 6 46
1,1/2-1/2,1kB5/3pp3/1P1p1rp1/RP3p2/1B2bP1p/4P3/2NNK3/8 w - - 7 47
1,1/2-1/2,1kB5/3pp3/1P1p1rp1/RP3p2/1B2NP1p/4P3/2N1K3/8 b - - 0 47
1,1/2-1/2,1kB5/3pp3/1P1p1rp1/RP6/1B2pP1p/4P3/2N1K3/8 w - - 0 48
1,1/2-1/2,1k6/3Bp3/1P1p1rp1/RP6/1B2pP1p/4P3/2N1K3/8 b - - 0 48
1,1/2-1/2,1k3r2/3Bp3/1P1p2p1/RP6/1B2pP1p/4P3/2N1K3/8 w - - 1 49
1,1/2-1/2,1k3r2/3Bp3/1P1p2p1/RP6/4pP1p/4P3/2N1K3/4B3 b - - 2 49
1,1/2-1/2,1k1r4/3Bp3/1P1p2p1/RP6/4pP1p/4P3/2N1K3/4B3 w - - 3 50
1,1/2-1/2,1k1r4/4p3/1PBp2p1/RP6/4pP1p/4P3/2N1K3/4B3 b - - 4 50
1,1/2-1/2,1kr5/4p3/1PBp2p1/RP6/4pP1p/4P3/2N1K3/4B3 w - - 5 51
1,1/2-1/2,1kr5/4p3/1PBp2p1/RP6/4pP1B/4P3/2N1K3/8 b - - 0 51
1,1/2-1/2,1kr5/4p3/1PBp4/RP4p1/4pP1B/4P3/2N1K3/8 w - - 0 52
1,1/2-1/2,1kr5/4p3/1PBp4/RP4B1/4pP2/4P3/2N1K3/8 b - - 0 52
1,1/2-1/2,1k3r2/4p3/1PBp4/RP4B1/4pP2/4P3/2N1K3/8 w - - 1 53
1,1/2-1/2,1k3r2/4B3/1PBp4/RP6/4pP2/4P3/2N1K3/8 b - - 0 53
1,1/2-1/2,1k6/4Br2/1PBp4/RP6/4pP2/4P3/2N1K3/8 w - - 1 54
1,1/2-1/2,1k6/5r2/1PBB4/RP6/4pP2/4P3/2N1K3/8 b - - 0 54
1,1/2-1/2,2k5/5r2/1PBB4/RP6/4pP2/4P3/2N1K3/8 w - - 1 55
1,1/2-1/2,2k5/1P3r2/2BB4/RP6/4pP2/4P3/2N1K3/8 b - - 0 55
1,1/2-1/2,2k5/1r6/2BB4/RP6/4pP2/4P3/2N1K3/8 w - - 0 56
1,1/2-1/2,R1k5/1r6/2BB4/1P6/4pP2/4P3/2N1K3/8 b - - 1 56
1,1/2-1/2,Rrk5/8/2BB4/1P6/4pP2/4P3/2N1K3/8 w - - 2 57
1,1/2-1/2,RBk5/8/2B5/1P6/4pP2/4P3/2N1K3/8 b - - 0 57
1,1/2-1/2,RB1k4/8/2B5/1P6/4pP2/4P3/2N1K3/8 w - - 1 58
1,1/2-1/2,RB1k4/8/2B5/1P3P2/4p3/4P3/2N1K3/8 b - - 0 58
1,1/2-1/2,RB6/4k3/2B5/1P3P2/4p3/4P3/2N1K3/8 w - - 1 59
1,1/2-1/2,1B6/4k3/2B5/1P3P2/4p3/4P3/R1N1K3/8 b - - 2 59
1,1/2-1/2,1B6/5k2/2B5/1P3P2/4p3/4P3/R1N1K3/8 w - - 3 60
1,1/2-1/2,1B6/5k2/2B5/1P3P2/4p3/4P3/R3K3/N7 b - - 4 60
1,1/2-1/2,1B4k1/8/2B5/1P3P2/4p3/4P3/R3K3/N7 w - - 5 61
1,1/2-1/2,1B4k1/8/8/1P1B1P2/4p3/4P3/R3K3/N7 b - - 6 61
1,1/2-1/2,1B6/6k1/8/1P1B1P2/4p3/4P3/R3K3/N7 w - - 7 62
1,1/2-1/2,1B6/6k1/8/1P1B1P2/4p3/4P3/1R2K3/N7 b - - 8 62
1,1/2-1/2,1B6/8/5k2/1P1B1P2/4p3/4P3/1R2K3/N7 w - - 9 63
1,1/2-1/2,1B6/8/5k2/1P3P2/4B3/4P3/1R2K3/N7 b - - 0 63
1,1/2-1/2,1B6/4k3/8/1P3P2/4B3/4P3/1R2K3/N7 w - - 1 64
1,1/2-1/2,1B6/4k3/8/1P3P2/4B3/4P3/R3K3/N7 b - - 2 64
1,1/2-1/2,1B3k2/8/8/1P3P2/4B3/4P3/R3K3/N7 w - - 3 65
1,1/2-1/2,1B3k2/8/8/1P3P2/4B3/4P3/3RK3/N7 b - - 4 65
1,1/2-1/2,1B6/4k3/8/1P3P2/4B3/4P3/3RK3/N7 w - - 5 66
1,1/2-1/2,8/4k3/8/1P2BP2/4B3/4P3/3RK3/N7 b - - 6 66
1,1/2-1/2,5k2/8/8/1P2BP2/4B3/4P3/3RK3/N7 w - - 7 67
1,1/2-1/2,B4k2/8/8/1P2BP2/8/4P3/3RK3/N7 b - - 8 67
1,1/2-1/2,B3k3/8/8/1P2BP2/8/4P3/3RK3/N7 w - - 9 68
1,1/2-1/2,4k3/8/8/1P2BP2/8/4PB2/3RK3/N7 b - - 10 68
1,1/2-1/2,8/4k3/8/1P2BP2/8/4PB2/3RK3/N7 w - - 11 69
1,1/2-1/2,8/4k3/8/1P2BP2/8/4PB2/3R4/N4K2 b - - 12 69
1,1/2-1/2,5k2/8/8/1P2BP2/8/4PB2/3R4/N4K2 w - - 13 70
1,1/2-1/2,5k2/3R4/8/1P2BP2/8/4PB2/8/N4K2 b - - 14 70
1,1/2-1/2,6k1/3R4/8/1P2BP2/8/4PB2/8/N4K2 w - - 15 71
1,1/2-1/2,6k1/3R4/8/1P2BP2/8/4PB2/6K1/N7 b - - 16 71
1,1/2-1/2,5k2/3R4/8/1P2BP2/8/4PB2/6K1/N7 w - - 17 72
1,1/2-1/2,5k2/3R2B1/8/1P3P2/8/4PB2/6K1/N7 b - - 18 72
1,1/2-1/2,6k1/3R2B1/8/1P3P2/8/4PB2/6K1/N7 w - - 19 73
1,1/2-1/2,6k1/1B1R2B1/8/1P3P2/8/4P3/6K1/N7 b - - 20 73
1,1/2-1/2,8/1B1R2Bk/8/1P3P2/8/4P3/6K1/N7 w - - 21 74
1,1/2-1/2,8/1B1R2Bk/8/1P3P2/8/4P2K/8/N7 b - - 22 74
1,1/2-1/2,6k1/1B1R2B1/8/1P3P2/8/4P2K/8/N7 w - - 23 75
1,1/2-1/2,6k1/1B1R4/7B/1P3P2/8/4P2K/8/N7 b - - 24 75
1,1/2-1/2,7k/1B1R4/7B/1P3P2/8/4P2K/8/N7 w - - 25 76
1,1/2-1/2,7k/1B4R1/7B/1P3P2/8/4P2K/8/N7 b - - 26 76
2,1/2-1/2,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
2,1/2-1/2,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1
2,1/2-1/2,rnbqkbnr/pp1ppppp/2p5/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2
2,1/2-1/2,rnbqkbnr/pp1ppppp/2p5/8/8/1P5P/P1PPPPP1/RNBQKBNR b KQkq - 0 2
2,1/2-1/2,rnb1kbnr/pp1ppppp/2p5/q7/8/1P5P/P1PPPPP1/RNBQKBNR w KQkq - 1 3
2,1/2-1/2,rnb1kbnr/pp1ppppp/2p5/q7/2P5/1P5P/P2PPPP1/RNBQKBNR b KQkq - 0 3
2,1/2-1/2,rnb1kbnr/pp2pppp/2pp4/q7/2P5/1P5P/P2PPPP1/RNBQKBNR w KQkq - 0 4
2,1/2-1/2,rnb1kbnr/pp2pppp/2pp4/q7/2P5/PP5P/3PPPP1/RNBQKBNR b KQkq - 0 4
2,1/2-1/2,rnb2bnr/pp1kpppp/2pp4/q7/2P5/PP5P/3PPPP1/RNBQKBNR w KQ - 1 5
2,1/2-1/2,rnb2bnr/pp1kpppp/2pp4/q7/2P5/PP5P/1B1PPPP1/RN1QKBNR b KQ - 2 5
2,1/2-1/2,rnb2bnr/pp1kp1pp/2pp4/q4p2/2P5/PP5P/1B1PPPP1/RN1QKBNR w KQ - 0 6
2,1/2-1/2,rnb2bnr/pp1kp1pp/2pp4/q4p2/2P5/PP5P/3PPPP1/RNBQKBNR b KQ - 1 6
2,1/2-1/2,rnb2bnr/1p1kp1pp/p1pp4/q4p2/2P5/PP5P/3PPPP1/RNBQKBNR w KQ - 0 7
2,1/2-1/2,rnb2bnr/1p1kp1pp/p1pp4/q4p2/2P5/PPN4P/3PPPP1/R1BQKBNR b KQ - 1 7
2,1/2-1/2,rnb2bnr/1p1kp1p1/p1pp3p/q4p2/2P5/PPN4P/3PPPP1/R1BQKBNR w KQ - 0 8
2,1/2-1/2,rnb2bnr/1p1kp1p1/p1pp3p/q4p2/N1P5/PP5P/3PPPP1/R1BQKBNR b KQ - 1 8
2,1/2-1/2,rnb2bnr/1p1kp1p1/p1pp3p/q7/N1P2p2/PP5P/3PPPP1/R1BQKBNR w KQ - 0 9
2,1/2-1/2,rnb2bnr/1p1kp1p1/p1pp3p/q7/NPP2p2/P6P/3PPPP1/R1BQKBNR b KQ - 0 9
2,1/2-1/2,rnb2bnr/1p1kp1p1/p1pp3p/4q3/NPP2p2/P6P/3PPPP1/R1BQKBNR w KQ - 1 10
2,1/2-1/2,rnb2bnr/1p1kp1p1/p1pp3p/4q3/NPPP1p2/P6P/4PPP1/R1BQKBNR b KQ - 0 10
2,1/2-1/2,rnb2bnr/1p1kp1p1/p1pp3p/6q1/NPPP1p2/P6P/4PPP1/R1BQKBNR w KQ - 1 11
2,1/2-1/2,rnb2bnr/1p1kp1p1/pNpp3p/6q1/1PPP1p2/P6P/4PPP1/R1BQKBNR b KQ - 2 11
2,1/2-1/2,rnb2bnr/1p2p1p1/pNppk2p/6q1/1PPP1p2/P6P/4PPP1/R1BQKBNR w KQ - 3 12
2,1/2-1/2,rnb2bnr/1p2p1p1/pNppk2p/6q1/1PPP1p1P/P7/4PPP1/R1BQKBNR b KQ - 0 12
2,1/2-1/2,rnb2bnr/1p2p1p1/pNppk1qp/8/1PPP1p1P/P7/4PPP1/R1BQKBNR w KQ - 1 13
2,1/2-1/2,Nnb2bnr/1p2p1p1/p1ppk1qp/8/1PPP1p1P/P7/4PPP1/R1BQKBNR b KQ - 0 13
2,1/2-1/2,Nnb2bnr/1p2p1p1/p1pp2qp/5k2/1PPP1p1P/P7/4PPP1/R1BQKBNR w KQ - 1 14
2,1/2-1/2,Nnb2bnr/1p2p1p1/p1pp2qp/5k2/1PPP1p1P/P7/2Q1PPP1/R1B1KBNR b KQ - 2 14
2,1/2-1/2,Nnb2bnr/1p2p1p1/p1pp1kqp/8/1PPP1p1P/P7/2Q1PPP1/R1B1KBNR w KQ - 3 15
2,1/2-1/2,Nnb2bnr/1p2p1p1/p1pp1kQp/8/1PPP1p1P/P7/4PPP1/R1B1KBNR b KQ - 0 15
2,1/2-1/2,Nnb2bnr/1p2p1p1/p1pp2kp/8/1PPP1p1P/P7/4PPP1/R1B1KBNR w KQ - 0 16
2,1/2-1/2,Nnb2bnr/1p2p1p1/p1pp2kp/8/1PPP1B1P/P7/4PPP1/R3KBNR b KQ - 0 16
2,1/2-1/2,Nnb2bn1/1p2p1pr/p1pp2kp/8/1PPP1B1P/P7/4PPP1/R3KBNR w KQ - 1 17
2,1/2-1/2,Nnb2bn1/1p2p1pr/p1pp2kp/7P/1PPP1B2/P7/4PPP1/R3KBNR b KQ - 0 17
2,1/2-1/2,Nnb2bn1/1p2pkpr/p1pp3p/7P/1PPP1B2/P7/4PPP1/R3KBNR w KQ - 1 18
2,1/2-1/2,Nnb2bn1/1p2pkpr/p1pp3p/3P3P/1PP2B2/P7/4PPP1/R3KBNR b KQ - 0 18
2,1/2-1/2,Nnb2bn1/1p2pk1r/p1pp3p/3P2pP/1PP2B2/P7/4PPP1/R3KBNR w KQ g6 0 19
2,1/2-1/2,Nnb2bn1/1p2pk1r/p1pp2Pp/3P4/1PP2B2/P7/4PPP1/R3KBNR b KQ - 0 19
2,1/2-1/2,Nnb2bn1/1p2p2r/p1pp2kp/3P4/1PP2B2/P7/4PPP1/R3KBNR w KQ - 0 20
2,1/2-1/2,Nnb2bn1/1p2p2r/p1pp2kp/3P4/1PP2B2/P3P3/5PP1/R3KBNR b KQ - 0 20
2,1/2-1/2,Nnb2bn1/1p5r/p1pp2kp/3Pp3/1PP2B2/P3P3/5PP1/R3KBNR w KQ e6 0 21
2,1/2-1/2,Nnb2bn1/1p5r/p1pp2kp/3Pp3/1PP5/P3P1B1/5PP1/R3KBNR b KQ - 1 21
2,1/2-1/2,Nnb2bn1/1p2r3/p1pp2kp/3Pp3/1PP5/P3P1B1/5PP1/R3KBNR w KQ - 2 22
2,1/2-1/2,Nnb2bn1/1p2r3/p1pp2kp/3Pp3/1PP4R/P3P1B1/5PP1/R3KBN1 b Q - 3 22
2,1/2-1/2,Nnb2bn1/1p2r3/p1pp3p/3Pp1k1/1PP4R/P3P1B1/5PP1/R3KBN1 w Q - 4 23
2,1/2-1/2,Nnb2bn1/1p2r3/p1pp3p/3Pp1k1/1PP4R/P3P1B1/3K1PP1/R4BN1 b - - 5 23
2,1/2-1/2,Nnb2bn1/1p1r4/p1pp3p/3Pp1k1/1PP4R/P3P1B1/3K1PP1/R4BN1 w - - 6 24
